"coefficient","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26"
"C4",-0.108159900301782,0.309441942975445,0.358091477080817,0.142051066862184,-0.0767382273471381,0.091355733210706,-0.0571847177566312,0.311485176095642,0.228878020959564,0.145576782279615,0.0754272005468179,0.215506226314992,0.117234826818612,0.042032911367181,-0.112628332426927,0.108268832477062,-0.0835385515108816,0.00551630268165778,0.0350416785290424,0.0371948638983733,0.136257856092108,0.0947000262666265,-0.148335619493207,-0.22407227732281,0.242965899603546,0.201619334481716
"C5",0.0867102090796234,0.316407091399961,-0.250506639527048,-0.125014973140569,-0.308870843973519,0.2728290223483,0.281112047994536,-0.125542987879932,-0.16441448535848,-0.180063187270142,0.038516843365613,0.0202854049581148,-0.235194430861447,0.0163183386788379,-0.0741876908386473,0.121484503752904,0.166474060405886,0.00341017913438886,0.0346435944317782,0.36071326851565,0.0719357044472773,-0.0565595352161505,-0.0505271507229357,0.226521754847588,0.30658050738889,0.0901198693040507
"C6",-0.133188017538005,-0.0731873157428896,0.155524722851169,0.245196760688197,-0.133797741190791,0.220208820377386,0.270297836193448,0.313004412926314,0.301133058837323,-0.0224607207717688,0.181291300954,-0.065919003306202,0.191156442762029,-0.0846436953620239,-0.116151536796083,-0.0833247518685024,-0.024355849999831,0.114565029045493,0.143000045871945,0.098928743079853,0.0453599379453563,-0.0504136703191879,-0.0427391737146044,0.179387103212003,-0.164091269245222,-0.227969346403157
"C7",0.0269886769155546,0.139447353576832,0.0860937730806081,-0.202816389142085,-0.254648892717263,0.187551137420455,0.26093117283291,-0.0341754254299532,-0.155311499800973,-0.17469651759629,-0.136095273178902,0.301313959856656,0.00117368195633799,-0.132688605573769,0.273625722606029,-0.0701612203793781,-0.125411550692229,0.114544837720814,0.0901046977487668,-0.293384496239761,-0.162513387069815,0.0755456566813355,-0.150662027737949,-0.296975742385186,-0.00610465610618844,-0.29748034890882
"C8",-0.0689095000274206,-0.0262709408953152,-0.143749242514409,0.321043737404301,0.107008628539717,0.327310928182944,0.282543548533965,0.0426270362060032,0.233443335235477,0.0124354227395491,-0.0106144176723159,-0.0254227822951629,-0.180015209668894,0.124952484018754,0.0488630031634813,-0.119954245826037,0.141955263520038,-0.0982220404371422,-0.0367656612541135,-0.0833895777941917,-0.327044588169425,-0.171871634831573,-0.09084653686022,-0.274558252791153,0.0731365576722505,0.115698271700268
"C9",0.0305865496880073,-0.0429739470582356,0.232829407874932,-0.247270048469654,-0.00338682840545347,-0.0766163155965053,0.337114512913295,0.212184367866285,-0.0697922648569798,-0.101413639421714,-0.0807956410086944,0.0168528755659553,0.0407186413376463,0.097039171215706,0.094616796255452,0.0801349280336612,0.193647606174328,0.0491563513501565,0.324460750139556,-0.173439437727244,0.399459217396686,-0.0159325010159002,0.210020576275535,0.189904892327406,-0.0475666599045497,0.153877791715842
"C10",-0.0512273085451505,0.0574330608157694,-0.157720838107246,0.285679785191555,-0.0562318812027066,0.116098431258388,0.0119061525538265,-0.241003384243049,0.01607302837341,-0.0670220518910943,-0.197851097314965,-0.0432737194431264,0.0529465206617874,0.0409777571681457,-0.0815746288523133,-0.183711485412334,0.409243505737298,-0.0706476944414095,0.196809769758438,-0.273286451365944,0.118127476871495,0.0137198911909509,0.0861812181855282,0.0574335755135583,-0.302577147611994,-0.156780752523073
"C11",0.0449646075309952,-0.0406345921180434,0.10858841929227,-0.257102955854637,0.221722947929764,0.0876503105707428,0.0445060621268806,0.216897642900158,0.155484122679214,-0.0904315298490817,-0.286964948013438,-0.314486106702,-0.145276976543047,-0.112984710348915,-0.103212628003713,0.0555722337571148,0.0819630187112066,0.0674337927150362,0.097903825925217,-0.207218774711369,-0.0484038282087373,-0.246568015260522,0.0743476653822652,-0.121347493764058,0.0355940254935527,0.149584474618338
"C12",-0.0332562533813108,0.0269308666406952,-0.00844102162655813,0.202941432798683,-0.12468372758604,-0.20181822926136,0.0352740856416549,-0.15857389385719,-0.109793629178041,0.186702720321472,-0.028928027067985,-0.0549084158419034,0.183411578775017,0.00425652946718426,-0.103430619257887,0.194297810568552,0.391321957537992,0.150608185964477,0.0776766493168968,-0.197717005383079,0.0496113491308974,0.251379572217009,-0.0447918448836501,-0.244442198028587,0.308048988783542,0.136417187177258
"C13",0.0361089246796374,0.0455836929093004,-0.0688087385073866,-0.121092500641059,0.238424963122086,0.119834234213253,-0.114153388600645,-0.0777846544079407,0.315002023944816,-0.239108713246786,-0.153810799079913,-0.222664992192507,-0.0528716210812008,0.106308631694389,0.10632908197245,0.197665533206579,0.0996702759291528,0.195893519164608,0.0304717184116769,0.235560729809745,0.0199336963232244,-0.0635841012086385,-0.110296551313937,-0.0714279328674355,0.073025709293734,0.00511293481812536
